Symbol,Description,Market Capitalization,Sector,Industry,Sub-Industry,Price,Index,Price Change YTD,Performance vs. S&P 500 YTD,Performance vs. Industry YTD,Total Return 1 Year
HLT,Hilton Worldwide Holdings Inc,$37B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",141.07,S&P 500,11.64%,-1.76%,-5.76%,2.36%
AME,AMETEK Inc,$36B (Mid),Industrials,Electrical Equipment,Electrical Components & Equipment,156.03,S&P 500,11.67%,-1.45%,-1.33%,30.67%
DXCM,Dexcom Inc,$49B (Large),Health Care,Health Care Equipment & Supplies,Health Care Equipment,126.52,S&P 500,11.73%,-0.70%,-0.24%,78.29%
CLX,Clorox Co,$19B (Mid),Consumer Staples,Household Products,Household Products,156.84,S&P 500,11.77%,-2.08%,11.24%,15.10%
CSGP,CoStar Group Inc,$35B (Mid),Industrials,Professional Services,Research & Consulting Services,86.40,S&P 500,11.80%,-0.33%,8.53%,41.11%
PPG,PPG Industries Inc,$33B (Mid),Materials,Chemicals,Specialty Chemicals,140.77,S&P 500,11.95%,-0.44%,9.27%,14.48%
GRMN,Garmin Ltd,$20B (Mid),Consumer Discretionary,Household Durables,Consumer Electronics,103.40,S&P 500,12.04%,-0.33%,-16.82%,3.75%
HSY,Hershey Co,$53B (Large),Consumer Staples,Food Products,Packaged Foods & Meats,260.31,S&P 500,12.41%,-1.68%,14.66%,26.32%
MDT,Medtronic PLC,$116B (Large),Health Care,Health Care Equipment & Supplies,Health Care Equipment,87.41,S&P 500,12.47%,-0.06%,0.50%,-6.88%
TPR,Tapestry Inc,$10B (Mid),Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",42.92,S&P 500,12.71%,-0.18%,16.72%,30.62%
COO,Cooper Companies Inc,$18B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Supplies,373.06,S&P 500,12.82%,-1.40%,0.85%,8.72%
AJG,Arthur J. Gallagher & Co.,$46B (Large),Financials,Insurance,Insurance Brokers,212.82,S&P 500,12.88%,-0.66%,15.97%,34.49%
MKC,McCormick & Company Inc,$24B (Mid),Consumer Staples,Food Products,Packaged Foods & Meats,93.75,S&P 500,13.10%,-1.00%,15.36%,5.31%
URI,United Rentals Inc,$28B (Mid),Industrials,Trading Companies & Distributors,Trading Companies & Distributors,402.47,S&P 500,13.24%,2.46%,-8.50%,38.18%
INVH,Invitation Homes Inc,$21B (Mid),Real Estate,Residential REITs,Single-Family Residential REITs,33.57,S&P 500,13.26%,1.42%,--,-9.20%
ABC,Amerisourcebergen Corp,$38B (Mid),Health Care,Health Care Providers & Services,Health Care Distributors,187.87,S&P 500,13.37%,-1.37%,21.06%,26.77%
ZBH,Zimmer Biomet Holdings Inc,$30B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Equipment,144.58,S&P 500,13.40%,-1.44%,1.43%,22.22%
ADI,Analog Devices Inc,$93B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,186.11,S&P 500,13.46%,-0.57%,-49.70%,15.08%
SWKS,Skyworks Solutions Inc,$17B (Mid),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,103.74,S&P 500,13.84%,0.62%,-49.32%,-0.91%
ROL,Rollins Inc,$20B (Mid),Industrials,Commercial Services & Supplies,Environmental & Facilities Services,41.60,S&P 500,13.85%,-0.79%,0.49%,20.39%
AXP,American Express Co,$125B (Large),Financials,Consumer Finance,Consumer Finance,168.26,S&P 500,13.88%,-0.05%,1.09%,3.01%
EQIX,Equinix Inc,$70B (Large),Real Estate,Specialized REITs,Data Center REITs,746.99,S&P 500,14.04%,3.11%,--,12.10%
BWA,Borgwarner Inc,$11B (Mid),Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,45.91,S&P 500,14.06%,1.19%,5.36%,16.23%
LIN,Linde PLC,$182B (Large),Materials,Chemicals,Industrial Gases,372.64,S&P 500,14.24%,-0.06%,11.56%,18.79%
RSG,Republic Services Inc,$47B (Large),Industrials,Commercial Services & Supplies,Environmental & Facilities Services,147.62,S&P 500,14.44%,-0.21%,1.09%,11.81%
AVB,Avalonbay Communities Inc,$26B (Mid),Real Estate,Residential REITs,Multi-Family Residential REITs,184.99,S&P 500,14.53%,3.12%,--,-7.54%
COST,Costco Wholesale Corp,$232B (Large),Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,524.20,S&P 500,14.83%,0.11%,10.83%,15.55%
STE,STERIS plc,$21B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Equipment,212.23,S&P 500,14.91%,0.99%,2.94%,-3.02%
COF,Capital One Financial Corp,$41B (Mid),Financials,Consumer Finance,Consumer Finance,106.91,S&P 500,15.01%,2.44%,2.21%,-12.42%
ACN,Accenture PLC,$194B (Large),Information Technology,IT Services,IT Consulting & Other Services,307.25,S&P 500,15.14%,3.23%,4.56%,4.54%
ACGL,Arch Capital Group Ltd,$27B (Mid),Financials,Insurance,Property & Casualty Insurance,72.61,S&P 500,15.66%,0.54%,18.75%,55.25%
ALK,Alaska Air Group Inc,$6B (Small),Industrials,Passenger Airlines,Passenger Airlines,49.67,S&P 500,15.67%,1.55%,-8.88%,6.66%
INTU,Intuit Inc,$126B (Large),Information Technology,Software,Application Software,450.84,S&P 500,15.83%,1.80%,-23.43%,11.21%
POOL,Pool Corp,$14B (Mid),Consumer Discretionary,Distributors,Distributors,350.28,S&P 500,15.86%,3.77%,14.90%,-9.80%
BRO,Brown & Brown Inc,$19B (Mid),Financials,Insurance,Insurance Brokers,66.01,S&P 500,15.87%,2.50%,18.96%,14.62%
SPGI,S&P Global Inc,$125B (Large),Financials,Capital Markets,Financial Exchanges & Data,388.24,S&P 500,15.91%,2.17%,19.15%,18.08%
CARR,Carrier Global Corp,$40B (Mid),Industrials,Building Products,Building Products,47.86,S&P 500,16.02%,2.81%,-2.67%,25.54%
CMCSA,Comcast Corp,$169B (Large),Communication Services,Media,Cable & Satellite,40.58,S&P 500,16.04%,2.16%,7.36%,-4.72%
SWK,Stanley Black & Decker Inc,$13B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,87.20,S&P 500,16.08%,3.71%,8.94%,-20.41%
ZTS,Zoetis Inc,$79B (Large),Health Care,Pharmaceuticals,Pharmaceuticals,170.16,S&P 500,16.11%,1.95%,17.85%,2.74%
RL,Ralph Lauren Corp,$8B (Mid),Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",122.78,S&P 500,16.19%,2.91%,20.20%,25.09%
NUE,Nucor Corp,$39B (Mid),Materials,Metals & Mining,Steel,153.33,S&P 500,16.33%,1.35%,11.97%,19.26%
STX,Seagate Technology Holdings PLC,$13B (Mid),Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",61.23,S&P 500,16.38%,2.93%,--,-22.51%
EFX,Equifax Inc,$28B (Mid),Industrials,Professional Services,Research & Consulting Services,226.45,S&P 500,16.51%,3.51%,13.24%,14.92%
ODFL,Old Dominion Freight Line Inc,$36B (Mid),Industrials,Ground Transportation,Cargo Ground Transportation,330.91,S&P 500,16.61%,1.23%,13.68%,29.14%
EQT,EQT Corp,$14B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,39.46,S&P 500,16.64%,3.42%,27.07%,-19.46%
OMC,Omnicom Group Inc,$19B (Mid),Communication Services,Media,Advertising,95.15,S&P 500,16.65%,1.89%,7.96%,36.42%
IPG,Interpublic Group of Companies Inc,$15B (Mid),Communication Services,Media,Advertising,38.97,S&P 500,16.99%,4.42%,8.31%,28.63%
TEL,TE Connectivity Ltd,$42B (Large),Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,134.51,S&P 500,17.17%,4.04%,8.57%,6.82%
DRI,Darden Restaurants Inc,$20B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,162.13,S&P 500,17.21%,5.80%,-0.19%,35.59%
MNST,Monster Beverage Corp,$62B (Large),Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,59.69,S&P 500,17.58%,1.19%,15.46%,35.58%
MAR,Marriott International Inc,$54B (Large),Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",175.69,S&P 500,18.00%,4.03%,0.60%,4.00%
DFS,Discover Financial Services,$29B (Mid),Financials,Consumer Finance,Consumer Finance,115.48,S&P 500,18.04%,4.55%,5.25%,6.34%
BSX,Boston Scientific Corp,$79B (Large),Health Care,Health Care Equipment & Supplies,Health Care Equipment,54.64,S&P 500,18.09%,2.56%,6.12%,36.87%
HWM,Howmet Aerospace Inc,$19B (Mid),Industrials,Aerospace & Defense,Aerospace & Defense,46.56,S&P 500,18.14%,5.24%,19.31%,30.96%
BR,Broadridge Financial Solutions Inc,$19B (Mid),Industrials,Professional Services,Data Processing & Outsourced Services,158.55,S&P 500,18.21%,4.70%,14.93%,12.21%
MCHP,Microchip Technology Inc,$45B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,83.12,S&P 500,18.32%,3.86%,-44.84%,18.90%
PCAR,Paccar Inc,$41B (Mid),Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,78.11,S&P 500,18.38%,4.66%,11.25%,37.97%
AXON,Axon Enterprise Inc,$15B (Mid),Industrials,Aerospace & Defense,Aerospace & Defense,196.92,S&P 500,18.68%,4.70%,19.84%,98.21%
MAS,Masco Corp,$12B (Mid),Industrials,Building Products,Building Products,55.39,S&P 500,18.68%,5.85%,-0.01%,1.76%
PTC,PTC Inc,$17B (Mid),Information Technology,Software,Application Software,142.71,S&P 500,18.89%,4.01%,-20.37%,22.58%
FI,Fiserv Inc,$74B (Large),Financials,Financial Services,Transaction & Payment Processing Services,120.54,S&P 500,19.26%,4.45%,15.38%,21.56%
WELL,Welltower Inc,$39B (Mid),Real Estate,Health Care REITs,Health Care REITs,78.46,S&P 500,19.69%,5.98%,--,-8.06%
SNA,Snap-On Inc,$14B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,273.54,S&P 500,19.72%,5.03%,12.58%,29.40%
IDXX,IDEXX Laboratories Inc,$41B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Equipment,490.72,S&P 500,20.29%,4.73%,8.32%,32.76%
CAH,Cardinal Health Inc,$24B (Mid),Health Care,Health Care Providers & Services,Health Care Distributors,92.52,S&P 500,20.36%,5.25%,28.05%,71.93%
FAST,Fastenal Co,$33B (Mid),Industrials,Trading Companies & Distributors,Trading Companies & Distributors,56.96,S&P 500,20.37%,7.13%,-1.36%,8.50%
MCO,Moody's Corp,$62B (Large),Financials,Capital Markets,Financial Exchanges & Data,335.84,S&P 500,20.54%,6.86%,23.78%,20.09%
VRTX,Vertex Pharmaceuticals Inc,$90B (Large),Health Care,Biotechnology,Biotechnology,348.16,S&P 500,20.56%,4.54%,29.58%,29.23%
AOS,A O Smith Corp,$10B (Mid),Industrials,Building Products,Building Products,69.04,S&P 500,20.61%,7.32%,1.92%,16.52%
LVS,Las Vegas Sands Corp,$44B (Large),Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,58.14,S&P 500,20.95%,6.70%,3.55%,65.36%
CHD,Church & Dwight Co Inc,$24B (Mid),Consumer Staples,Household Products,Household Products,97.55,S&P 500,21.01%,5.12%,20.49%,11.79%
WDC,Western Digital Corp,$12B (Mid),Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",38.35,S&P 500,21.55%,7.10%,--,-36.38%
IR,Ingersoll Rand Inc,$26B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,63.52,S&P 500,21.57%,7.94%,14.43%,34.62%
SYK,Stryker Corp,$113B (Large),Health Care,Health Care Equipment & Supplies,Health Care Equipment,297.89,S&P 500,21.84%,7.04%,9.87%,32.32%
VMC,Vulcan Materials Co,$28B (Mid),Materials,Construction Materials,Construction Materials,213.45,S&P 500,21.89%,5.76%,-5.12%,30.91%
F,Ford Motor Co,$57B (Large),Consumer Discretionary,Automobiles,Automobile Manufacturers,14.19,S&P 500,22.01%,11.39%,-68.59%,15.03%
XRAY,DENTSPLY SIRONA Inc,$8B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Supplies,38.89,S&P 500,22.14%,7.64%,10.17%,1.17%
NTAP,NetApp Inc,$16B (Mid),Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",73.37,S&P 500,22.16%,6.38%,--,4.42%
ROK,Rockwell Automation Inc,$36B (Mid),Industrials,Electrical Equipment,Electrical Components & Equipment,314.98,S&P 500,22.29%,9.52%,9.28%,47.70%
EW,Edwards Lifesciences Corp,$55B (Large),Health Care,Health Care Equipment & Supplies,Health Care Equipment,91.33,S&P 500,22.41%,7.37%,10.44%,-6.17%
EXPE,Expedia Group Inc,$16B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",107.33,S&P 500,22.52%,5.43%,5.12%,-14.97%
HCA,HCA Healthcare Inc,$81B (Large),Health Care,Health Care Providers & Services,Health Care Facilities,294.40,S&P 500,22.69%,5.18%,30.38%,44.07%
NXPI,NXP Semiconductors NV,$51B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,194.65,S&P 500,23.17%,7.56%,-39.98%,8.30%
TER,Teradyne Inc,$17B (Mid),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,107.80,S&P 500,23.41%,7.62%,-39.75%,1.55%
ISRG,Intuitive Surgical Inc,$115B (Large),Health Care,Health Care Equipment & Supplies,Health Care Equipment,327.62,S&P 500,23.47%,7.30%,11.50%,51.40%
ECL,Ecolab Inc,$51B (Large),Materials,Chemicals,Specialty Chemicals,179.87,S&P 500,23.57%,9.22%,20.89%,12.31%
INTC,Intel Corp,$136B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,32.71,S&P 500,23.76%,9.48%,-39.40%,-22.84%
TYL,Tyler Technologies Inc,$17B (Mid),Information Technology,Software,Application Software,399.25,S&P 500,23.83%,6.98%,-15.43%,15.43%
KLAC,KLA Corp,$64B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,467.38,S&P 500,23.96%,6.47%,-39.19%,32.70%
GNRC,Generac Holdings Inc,$8B (Mid),Industrials,Electrical Equipment,Electrical Components & Equipment,124.81,S&P 500,23.99%,14.91%,10.98%,-48.82%
ETN,Eaton Corporation PLC,$78B (Large),Industrials,Electrical Equipment,Electrical Components & Equipment,195.60,S&P 500,24.63%,9.18%,11.62%,44.99%
FSLR,First Solar Inc,$20B (Mid),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,187.08,S&P 500,24.89%,8.37%,-38.26%,163.98%
LLY,Eli Lilly and Co,$434B (Large),Health Care,Pharmaceuticals,Pharmaceuticals,457.68,S&P 500,25.10%,8.90%,26.85%,48.88%
ANET,Arista Networks Inc,$47B (Large),Information Technology,Communications Equipment,Communications Equipment,153.24,S&P 500,26.28%,9.81%,18.64%,50.72%
MGM,MGM Resorts International,$15B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,42.50,S&P 500,26.75%,12.60%,9.35%,24.33%
LYV,Live Nation Entertainment Inc,$20B (Mid),Communication Services,Entertainment,Movies & Entertainment,88.80,S&P 500,27.33%,11.79%,8.34%,-6.04%
PH,Parker-Hannifin Corp,$48B (Large),Industrials,Machinery,Industrial Machinery & Supplies & Components,371.01,S&P 500,27.49%,13.11%,20.36%,38.55%
WBD,Warner Bros Discovery Inc,$29B (Mid),Communication Services,Entertainment,Movies & Entertainment,12.09,S&P 500,27.53%,14.76%,8.54%,-31.54%
WYNN,Wynn Resorts Ltd,$12B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,105.32,S&P 500,27.71%,13.41%,10.31%,62.07%
AAL,American Airlines Group Inc,$11B (Mid),Industrials,Passenger Airlines,Passenger Airlines,16.36,S&P 500,28.62%,12.70%,4.07%,-5.38%
KMX,Carmax Inc,$12B (Mid),Consumer Discretionary,Specialty Retail,Automotive Retail,78.32,S&P 500,28.63%,13.09%,28.61%,-20.46%
LW,Lamb Weston Holdings Inc,$17B (Mid),Consumer Staples,Food Products,Packaged Foods & Meats,115.00,S&P 500,28.69%,11.57%,30.95%,74.69%
TAP,Molson Coors Beverage Co,$13B (Mid),Consumer Staples,Beverages,Brewers,66.47,S&P 500,29.02%,13.59%,26.89%,25.89%
VRSK,Verisk Analytics Inc,$33B (Mid),Industrials,Professional Services,Research & Consulting Services,228.01,S&P 500,29.24%,13.27%,25.97%,34.33%
MLM,Martin Marietta Materials Inc,$27B (Mid),Materials,Construction Materials,Construction Materials,439.22,S&P 500,29.96%,12.39%,2.94%,31.25%
DAL,Delta Air Lines Inc,$28B (Mid),Industrials,Passenger Airlines,Passenger Airlines,42.94,S&P 500,30.68%,14.52%,6.13%,8.60%
FLT,Fleetcor Technologies Inc,$18B (Mid),Financials,Financial Services,Transaction & Payment Processing Services,240.99,S&P 500,31.20%,16.36%,27.32%,-0.71%
NVR,NVR Inc,$20B (Mid),Consumer Discretionary,Household Durables,Homebuilding,6062.57,S&P 500,31.44%,14.89%,2.57%,38.17%
FICO,Fair Isaac Corp,$20B (Mid),Information Technology,Software,Application Software,786.85,S&P 500,31.45%,16.15%,-7.81%,93.69%
GWW,WW Grainger Inc,$37B (Mid),Industrials,Trading Companies & Distributors,Trading Companies & Distributors,735.93,S&P 500,32.30%,17.33%,10.57%,50.57%
DVA,DaVita Inc,$9B (Mid),Health Care,Health Care Providers & Services,Health Care Services,98.96,S&P 500,32.53%,15.05%,40.22%,3.73%
MU,Micron Technology Inc,$73B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,66.25,S&P 500,32.55%,15.78%,-30.60%,-9.17%
PWR,Quanta Services Inc,$27B (Mid),Industrials,Construction & Engineering,Construction & Engineering,189.31,S&P 500,32.85%,17.84%,16.74%,58.40%
BKNG,Booking Holdings Inc,$99B (Large),Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2677.90,S&P 500,32.88%,15.38%,15.48%,19.63%
SNPS,Synopsys Inc,$65B (Large),Information Technology,Software,Application Software,426.13,S&P 500,33.46%,17.43%,-5.80%,34.49%
PNR,Pentair PLC,$10B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,60.23,S&P 500,33.90%,18.90%,26.77%,23.70%
LEN,Lennar Corp,$35B (Mid),Consumer Discretionary,Household Durables,Homebuilding,121.32,S&P 500,34.06%,18.22%,5.19%,54.94%
DHI,DR Horton Inc,$41B (Mid),Consumer Discretionary,Household Durables,Homebuilding,119.63,S&P 500,34.20%,17.37%,5.34%,61.08%
FDX,FedEx Corp,$59B (Large),Industrials,Air Freight & Logistics,Air Freight & Logistics,232.93,S&P 500,34.49%,14.68%,26.73%,9.59%
ANSS,ANSYS Inc,$28B (Mid),Information Technology,Software,Application Software,325.68,S&P 500,34.81%,18.33%,-4.45%,27.76%
TDG,TransDigm Group Inc,$47B (Large),Industrials,Aerospace & Defense,Aerospace & Defense,850.59,S&P 500,35.09%,18.44%,36.25%,45.78%
TTWO,Take-Two Interactive Software Inc,$24B (Mid),Communication Services,Entertainment,Interactive Home Entertainment,141.18,S&P 500,35.58%,18.63%,16.59%,13.28%
GEHC,GE Healthcare Technologies Inc,$36B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Equipment,80.21,S&P 500,37.39%,19.94%,25.43%,--
GOOGL,Alphabet Inc,$840B (Large),Communication Services,Interactive Media & Services,Interactive Media & Services,123.15,S&P 500,39.58%,20.16%,-19.64%,8.13%
GOOG,Alphabet Inc,-- ,Communication Services,Interactive Media & Services,Interactive Media & Services,123.87,S&P 500,39.60%,--,-19.62%,8.53%
UAL,United Airlines Holdings Inc,$17B (Mid),Industrials,Passenger Airlines,Passenger Airlines,53.05,S&P 500,40.72%,23.29%,16.17%,16.62%
CDNS,Cadence Design Systems Inc,$62B (Large),Information Technology,Software,Application Software,227.00,S&P 500,41.31%,24.83%,2.05%,48.15%
NOW,ServiceNow Inc,$112B (Large),Information Technology,Software,Systems Software,549.87,S&P 500,41.62%,23.86%,2.36%,15.73%
MSFT,Microsoft Corp,$3T (Large),Information Technology,Software,Systems Software,339.71,S&P 500,41.65%,22.32%,2.39%,25.91%
ADBE,Adobe Inc,$219B (Large),Information Technology,Software,Application Software,477.58,S&P 500,41.91%,24.78%,2.65%,14.21%
ON,ON Semiconductor Corp,$38B (Mid),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,88.95,S&P 500,42.62%,24.19%,-20.54%,50.08%
AMAT,Applied Materials Inc,$117B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,138.92,S&P 500,42.66%,23.43%,-20.50%,22.58%
NFLX,Netflix Inc,$188B (Large),Communication Services,Entertainment,Movies & Entertainment,422.48,S&P 500,43.27%,26.59%,24.28%,119.00%
AAPL,Apple Inc,$3T (Large),Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",187.00,S&P 500,43.92%,24.52%,--,26.50%
MPWR,Monolithic Power Systems Inc,$24B (Mid),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,512.24,S&P 500,44.86%,25.62%,-18.30%,15.21%
CPRT,Copart Inc,$43B (Large),Industrials,Commercial Services & Supplies,Diversified Support Services,89.30,S&P 500,46.66%,28.56%,33.30%,58.18%
FTNT,Fortinet Inc,$56B (Large),Information Technology,Software,Systems Software,71.86,S&P 500,46.98%,27.92%,7.72%,24.30%
LRCX,Lam Research Corp,$83B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,619.87,S&P 500,47.48%,26.76%,-15.68%,24.70%
ORCL,Oracle Corp,$327B (Large),Information Technology,Software,Systems Software,120.58,S&P 500,47.52%,31.37%,8.26%,71.38%
CMG,Chipotle Mexican Grill Inc,$57B (Large),Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2050.52,S&P 500,47.79%,31.49%,30.39%,49.16%
AVGO,Broadcom Inc,$348B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,842.43,S&P 500,50.67%,33.33%,-12.49%,52.46%
AMZN,Amazon.com Inc,$1T (Large),Consumer Discretionary,Broadline Retail,Broadline Retail,130.15,S&P 500,54.94%,30.70%,29.11%,6.96%
NCLH,Norwegian Cruise Line Holdings Ltd,$8B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",19.08,S&P 500,55.88%,38.10%,38.48%,24.79%
WST,West Pharmaceutical Services Inc,$27B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,368.67,S&P 500,56.65%,37.85%,62.69%,19.79%
ALGN,Align Technology Inc,$26B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Supplies,334.40,S&P 500,58.56%,37.91%,46.59%,26.11%
GE,General Electric Co,$114B (Large),Industrials,Industrial Conglomerates,Industrial Conglomerates,104.82,S&P 500,60.31%,41.30%,51.56%,74.03%
CRM,Salesforce Inc,$208B (Large),Information Technology,Software,Application Software,213.29,S&P 500,60.86%,39.02%,21.61%,21.14%
PHM,Pultegroup Inc,$17B (Mid),Consumer Discretionary,Household Durables,Homebuilding,76.05,S&P 500,67.03%,46.32%,38.17%,71.99%
AMD,Advanced Micro Devices Inc,$178B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,110.70,S&P 500,70.91%,52.23%,7.75%,9.37%
PANW,Palo Alto Networks Inc,$76B (Large),Information Technology,Software,Systems Software,249.15,S&P 500,78.55%,50.58%,39.29%,48.97%
CCL,Carnival Corp,$18B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",15.76,S&P 500,95.53%,73.38%,78.14%,17.00%
RCL,Royal Caribbean Cruises Ltd,$25B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",97.41,S&P 500,97.07%,73.21%,79.67%,75.29%
TSLA,Tesla Inc,$839B (Large),Consumer Discretionary,Automobiles,Automobile Manufacturers,264.61,S&P 500,114.82%,85.25%,24.21%,7.22%
META,Meta Platforms Inc,$730B (Large),Communication Services,Interactive Media & Services,Interactive Media & Services,284.88,S&P 500,136.73%,105.83%,77.51%,51.02%
NVDA,NVIDIA Corp,$1T (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,430.25,S&P 500,194.41%,159.05%,131.25%,135.10%
